sport,year,brand,set_name,card_number,player_name,team,image_url,is_rookie
Hockey,2023-24,O Pee Chee,Base,1,Connor McDavid,Edmonton Oilers,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474451.jpg,False
Hockey,2023-24,O Pee Chee,Base,2,Cale Makar,Colorado Avalanche,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474452.jpg,False
Hockey,2023-24,O Pee Chee,Base,3,Sebastian Aho,Carolina Hurricanes,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474453.jpg,False
Hockey,2023-24,O Pee Chee,Base,4,Matthew Tkachuk,Florida Panthers,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474454.jpg,False
Hockey,2023-24,O Pee Chee,Base,5,Johnny Gaudreau,Columbus Blue Jackets,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474455.jpg,False
Hockey,2023-24,O Pee Chee,Base,6,Jack Hughes,New Jersey Devils,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474456.jpg,False
Hockey,2023-24,O Pee Chee,Base,7,Mitch Marner,Toronto Maple Leafs,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474457.jpg,False
Hockey,2023-24,O Pee Chee,Base,8,Alex Ovechkin,Washington Capitals,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474458.jpg,False
Hockey,2023-24,O Pee Chee,Base,9,Nathan MacKinnon,Colorado Avalanche,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474459.jpg,False
Hockey,2023-24,O Pee Chee,Base,10,Steven Stamkos,Tampa Bay Lightning,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474460.jpg,False
Hockey,2023-24,O Pee Chee,Base,11,Leon Draisaitl,Edmonton Oilers,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474461.jpg,False
Hockey,2023-24,O Pee Chee,Base,12,Mason McTavish,Anaheim Ducks,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474462.jpg,False
Hockey,2023-24,O Pee Chee,Base,13,Joe Pavelski,Dallas Stars,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474463.jpg,False
Hockey,2023-24,O Pee Chee,Base,14,Cole Caufield,Montreal Canadiens,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474464.jpg,False
Hockey,2023-24,O Pee Chee,Base,15,Jonathan Toews,Chicago Blackhawks,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474465.jpg,False
Hockey,2023-24,O Pee Chee,Base,16,Marc-Andre Fleury,Minnesota Wild,https://www.gletech.com/StockPhotos/Hockey/2023-24/313595/front_thumb_14474466.jpg,False
